Chromosome	Approved_Gene_Symbol	OMIM_INFO
chr2	DNER	607299.0 | DNER | Delta-and notch-like egf-related receptor | 92737.0 | ENSG00000187957 | nan | nan
chr2	TRIP12	604506.0 | TRIP12, MRD49 | Thyroid hormone receptor interactor 12 | 9320.0 | ENSG00000153827 | nan | Intellectual developmental disorder, autosomal dominant 49, 617752 (3), Autosomal dominant
chr2	FBXO36	609105.0 | FBXO36, FBX36 | F-box only protein 36 | 130888.0 | ENSG00000153832 | nan | nan
chr2		600430.0 | BDMR, C2DELq37, DEL2q37 | Chromosome 2q37 deletion syndrome | nan | nan | nan | Chromosome 2q37 deletion syndrome, 600430 (4), Autosomal dominant
chr2	HPE6	605934.0 | HPE6 | Holoprosencephaly 6 | 117190.0 | nan | nan | Holoprosencephaly 6, 605934 (2)
chr2	MYP12	609995.0 | MYP12 | Myopia 12 | 664780.0 | nan | max lod at D2S2344 | Myopia 12, 609995 (2)
chr2	STQTL21	613440.0 | STQTL21 | Stature quantitative trait locus 21 | 100502568.0 | nan | associated with rs6717918 | {Stature QTL 21}, 613440 (2)
chr2	SP110	604457.0 | SP110, IFI41, IFI75, VODI | SP110 nuclear body protein (interferon-induced protein 41, 30kD; interferon-induced protein 75, 52kD) | 3431.0 | ENSG00000135899 | nan | {Mycobacterium tuberculosis, susceptibility to}, 607948 (3); Hepatic venoocclusive disease with immunodeficiency, 235550 (3), Autosomal recessive
chr2	SP140	608602.0 | SP140, LYSP100 | Nuclear body protein sp140 | 11262.0 | ENSG00000079263 | nan | nan
chr2	SP140L	617747.0 | SP140L | Nuclear body protein SP140-like | 93349.0 | ENSG00000185404 | nan | nan
chr2	SP100	604585.0 | SP100 | Nuclear antigen SP100 | 6672.0 | ENSG00000067066 | nan | nan
chr2	CAB39	612174.0 | CAB39 | Calcium-binding protein 39 | 51719.0 | ENSG00000135932 | nan | nan
chr2	ITM2C	609554.0 | ITM2C, BRI3 | Integral membrane protein 2C | 81618.0 | ENSG00000135916 | nan | nan
chr2	GPR55	604107.0 | GPR55 | G protein-coupled receptor 55 | 9290.0 | ENSG00000135898 | nan | nan
chr2	SPATA3	619857.0 | SPATA3, TSARG1 | Spermatogenesis-associated protein 3 | 130560.0 | ENSG00000173699 | nan | nan
chr2	PSMD1	617842.0 | PSMD1 | Proteasome 26S subunit, non-ATPase, 1 | 5707.0 | ENSG00000173692 | nan | nan
chr2	HTR2B	601122.0 | HTR2B | 5-hydroxytryptamine (serotonin) receptor-2B | 3357.0 | ENSG00000135914 | nan | nan
chr2	ARMC9	617612.0 | ARMC9, KIAA1868, JBTS30 | Armadillo repeat-containing protein 9 | 80210.0 | ENSG00000135931 | nan | Joubert syndrome 30, 617622 (3), Autosomal recessive
chr2	B3GNT7	615313.0 | B3GNT7 | Beta-1,3-N-acetylglucosaminyltransferase 7 | 93010.0 | ENSG00000156966 | nan | nan
chr2	NCL	164035.0 | NCL | Nucleolin | 4691.0 | ENSG00000115053 | nan | nan
chr2	SNORD20	604012.0 | RNU20 | RNA, U20 small nucleolar | 6082.0 | ENSG00000207280 | nan | nan
chr2	SNORD82	611133.0 | SNORD82, RNU82 | Small nucleolar RNA, C/D box, 82 | 25826.0 | ENSG00000202400 | nan | nan
chr2	NMUR1	604153.0 | NMUR1, GPR66, FM3 | Neuromedin U receptor 1 | 10316.0 | ENSG00000171596 | nan | nan
chr2	PTMA	188390.0 | PTMA, TMSA | Prothymosin, alpha (gene sequence 28) | 5757.0 | ENSG00000187514 | nan | nan
chr2	PDE6D	602676.0 | PDE6D, JBTS22 | Phosphodiesterase 6D | 5147.0 | ENSG00000156973 | nan | Joubert syndrome 22, 615665 (3), Autosomal recessive
chr2	COPS7B	616010.0 | COPS7B | COP9 signalosome, subunit 7B | 64708.0 | ENSG00000144524 | nan | nan
chr2	NPPC	600296.0 | NPPC | Natriuretic peptide precursor C | 4880.0 | ENSG00000163273 | nan | nan
chr2	DIS3L2	614184.0 | DIS3L2, PRLMNS | DIS3 like exosome 3'-5' exoribonuclease 2 | 129563.0 | ENSG00000144535 | nan | Perlman syndrome, 267000 (3), Autosomal recessive
chr2	ALPP	171800.0 | ALPP | Alkaline phosphatase, placental (Regan isozyme) | 250.0 | ENSG00000163283 | nan | nan
chr2	ALPG	171810.0 | ALPPL2 | Alkaline phosphatase, placental-like 2 | 251.0 | ENSG00000163286 | nan | nan
chr2	ALPI	171740.0 | ALPI | Alkaline phosphatase, intestinal | 248.0 | ENSG00000163295 | close to ALPP; proximal to PAX3 | nan
chr2	ECEL1	605896.0 | ECEL1, XCE, DA5D | Endothelin-converting enzyme-like 1 | 9427.0 | ENSG00000171551 | nan | Arthrogryposis, distal, type 5D, 615065 (3), Autosomal recessive
chr2	PRSS56	613858.0 | PRSS56, MCOP6 | Protease, serine, 56 | 646960.0 | ENSG00000237412 | nan | Microphthalmia, isolated 6, 613517 (3), Autosomal recessive
chr2	CHRND	100720.0 | CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C | Cholinergic receptor, nicotinic, delta polypeptide | 1144.0 | ENSG00000135902 | mutation identified in 1 CMS3A patient and 1 CMS3C family | ?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323 (3), Autosomal recessive; Multiple pterygium syndrome, lethal type, 253290 (3), Autosomal recessive; Myasthenic syndrome, congenital, 3B, fast-channel, 616322 (3), Autosomal recessive; ?Myasthenic syndrome, congenital, 3A, slow-channel, 616321 (3), Autosomal dominant
chr2	CHRNG	100730.0 | CHRNG, ACHRG | Cholinergic receptor, nicotinic, gamma polypeptide | 1146.0 | ENSG00000196811 | tightly linked to CHRND by RE | Multiple pterygium syndrome, lethal type, 253290 (3), Autosomal recessive; Escobar syndrome, 265000 (3), Autosomal recessive
chr2	TIGD1	612972.0 | TIGD1 | TIGGER transposable element-derived gene 1 | 200765.0 | ENSG00000221944 | nan | nan
chr2	EIF4E2	605895.0 | EIF4E2, EIF4EL3, 4EHP | Eukaryotic translation initiation factor 4E family, member 2 | 9470.0 | ENSG00000135930 | nan | nan
chr2	EFHD1	611617.0 | EFHD1 | EF-hand domain family, member D1 | 80303.0 | ENSG00000115468 | nan | nan
chr2	GIGYF2	612003.0 | GIGYF2, KIAA0642, PARK11 | GRB10-interacting GYF protein 2 | 26058.0 | ENSG00000204120 | nan | {Parkinson disease 11}, 607688 (3)
chr2	KCNJ13	603208.0 | KCNJ13, SVD, LCA16 | Potassium inwardly-rectifying channel, subfamily J, member 13 | 3769.0 | ENSG00000115474 | nan | Snowflake vitreoretinal degeneration, 193230 (3), Autosomal dominant; Leber congenital amaurosis 16, 614186 (3), Autosomal recessive
chr2	SNORC	620882.0 | SNORC | Secondary ossification center-associated regulator of chondrocyte maturation | 389084.0 | ENSG00000182600 | nan | nan
chr2	NGEF	605991.0 | NGEF | Neuronal guanine nucleotide exchange factor | 25791.0 | ENSG00000066248 | nan | nan
chr2	NEU2	605528.0 | NEU2, SIAL2 | Neuraminidase 2 | 4759.0 | ENSG00000115488 | nan | nan
chr2	INPP5D	601582.0 | INPP5D, SHIP | Inositol polyphosphate-5-phosphatase, 145kD | 3635.0 | ENSG00000168918 | nan | nan
chr2	ATG16L1	610767.0 | ATG16L1, APG16L, IBD10 | Autophagy related 16 like 1 | 55054.0 | ENSG00000085978 | nan | {Inflammatory bowel disease (Crohn disease) 10}, 611081 (3)
chr2	SCARNA5	615640.0 | SCARNA5 | Small Cajal body-specific RNA 5 | 677775.0 | ENSG00000252010 | within intron 9 of ATG16L1 | nan
chr2	SCARNA6	615641.0 | SCARNA6 | Small Cajal body-specific RNA 6 | 677772.0 | ENSG00000251791 | within intron 12 of ATG16L1 | nan
chr2	SAG	181031.0 | SAG, RP47, RP96 | S-antigen; retina and pineal gland (arrestin) | 6295.0 | ENSG00000130561 | nan | Retinitis pigmentosa 47, autosomal recessive, 613758 (3), Autosomal recessive; Retinitis pigmentosa 96, autosomal dominant, 620228 (3), Autosomal dominant; Oguchi disease-1, 258100 (3), Autosomal recessive
chr2	DGKD	601826.0 | DGKD | Diacylglycerol kinase, delta, 130kD | 8527.0 | ENSG00000077044 | nan | nan
chr2	USP40	610570.0 | USP40 | Ubiquitin-specific protease 40 | 55230.0 | ENSG00000085982 | nan | nan
chr2	UGT1A8	606433.0 | UGT1A8 | UDP-glycosyltransferase 1 family, polypeptide A8 | 54576.0 | ENSG00000242366 | nan | nan
chr2	UGT1A10	606435.0 | UGT1A10 | UDP-glycosyltransferase 1 family, polypeptide A10 | 54575.0 | ENSG00000242515 | nan | nan
chr2	UGT1A9	606434.0 | UGT1A9 | UDP-glycosyltransferase 1 family, polypeptide A9 | 54600.0 | ENSG00000241119 | nan | nan
chr2	UGT1A7	606432.0 | UGT1A7 | UDP-glycosyltransferase 1 family, polypeptide A7 | 54577.0 | ENSG00000244122 | nan | nan
chr2	UGT1A6	606431.0 | UGT1A6 | UDP-glycosyltransferase 1 family, polypeptide A6 | 54578.0 | ENSG00000167165 | nan | nan
chr2	UGT1A5	606430.0 | UGT1A5 | UDP-glycosyltransferase 1 family, polypeptide A5 | 54579.0 | ENSG00000288705 | nan | nan
chr2	UGT1A4	606429.0 | UGT1A4, UGT1D | UDP-glycosyltransferase 1 family, polypeptide A4 | 54657.0 | ENSG00000244474 | nan | nan
chr2	UGT1A3	606428.0 | UGT1A3, UGT1C | UDP-glycosyltransferase 1 family, polypeptide A3 | 54659.0 | ENSG00000288702 | nan | nan
chr2	UGT1A1	191740.0 | UGT1A1, UGT1, GNT1, BILIQTL1 | UDP glycosyltransferase 1 family, polypeptide A1 | 54658.0 | ENSG00000241635 | nan | Crigler-Najjar syndrome, type I, 218800 (3), Autosomal recessive; [Bilirubin, serum level of, QTL1], 601816 (3); Hyperbilirubinemia, familial transient neonatal, 237900 (3), Autosomal recessive, Autosomal dominant; Crigler-Najjar syndrome, type II, 606785 (3), Autosomal recessive; [Gilbert syndrome], 143500 (3), Autosomal recessive
chr2	HJURP	612667.0 | HJURP | Holliday junction recognition protein | 55355.0 | ENSG00000123485 | nan | nan
chr2	TRPM8	606678.0 | TRPM8, TRPP8 | Transient receptor potential cation channel, subfamily M, member 8 | 79054.0 | ENSG00000144481 | nan | nan
chr2	SPP2	602637.0 | SPP2 | Secreted phosphoprotein-2, 24kD | 6694.0 | ENSG00000072080 | nan | nan
chr2	ARL4C	604787.0 | ARL4C, ARL7 | ADP ribosylation factor-like GTPase 4C | 10123.0 | ENSG00000188042 | nan | nan
chr2	SH3BP4	605611.0 | SH3BP4, BOG25 | SH3 domain-binding protein 4 | 23677.0 | ENSG00000130147 | nan | nan
chr2	AGAP1	608651.0 | AGAP1, CENTG2, KIAA1099 | Arf GTPase-activating protein with GTPase domain, ankyrin repeat, and pleckstrin homology domain 1 | 116987.0 | ENSG00000157985 | nan | nan
chr2	GBX2	601135.0 | GBX2 | Gastrulation brain homeobox 2 | 2637.0 | ENSG00000168505 | nan | nan
chr2	ACKR3	610376.0 | ACKR3, CXCR7, CMKOR1, GPR159, RDC1 | Atypical chemokine receptor 3 | 57007.0 | ENSG00000144476 | mutation identified in 1 OCABSN family | ?Oculomotor-abducens synkinesis, 619215 (3), Autosomal recessive
chr2	COPS8	616011.0 | COPS8, CSN8 | COP9 signalosome, subunit 8 | 10920.0 | ENSG00000198612 | nan | nan
chr2	COL6A3	120250.0 | COL6A3, DYT27, BTHLM1C, UCMD1C | Collagen VI, alpha-3 polypeptide | 1293.0 | ENSG00000163359 | close to CRBP1 | Bethlem myopathy 1C, 620726 (3), Autosomal recessive, Autosomal dominant; Ullrich congenital muscular dystrophy 1C, 620728 (3), Autosomal recessive, Autosomal dominant; Dystonia 27, 616411 (3), Autosomal recessive
chr2	MLPH	606526.0 | MLPH | Melanophilin | 79083.0 | ENSG00000115648 | nan | Griscelli syndrome, type 3, 609227 (3), Autosomal recessive
chr2	PRLH	602663.0 | PRLH, PRRP | Prolactin-releasing hormone | 51052.0 | ENSG00000071677 | nan | nan
chr2	RAB17	602206.0 | RAB17 | Ras-associated protein | 64284.0 | ENSG00000124839 | nan | nan
chr2	LRRFIP1	603256.0 | LRRFIP1, GCF2, TRIP, FLAP1 | Leucine-rich repeat in FLII-interacting protein 1 | 9208.0 | ENSG00000124831 | nan | nan
chr2	RAMP1	605153.0 | RAMP1 | Receptor activity-modifying protein 1 | 10267.0 | ENSG00000132329 | nan | nan
chr2	UBE2F	617700.0 | UBE2F, NCE2 | Ubiquitin-conjugating enzyme E2 F (putative) | 140739.0 | ENSG00000184182 | nan | nan
chr2	SCLY	611056.0 | SCLY, SCL | Selenocysteine lyase | 51540.0 | ENSG00000132330 | nan | nan
chr2	ESPNL	619974.0 | ESPNL | Espin-like protein | 339768.0 | ENSG00000144488 | nan | nan
chr2	ERFE	615099.0 | ERFE, FAM132B, CTRP15 | Erythroferrone | 151176.0 | ENSG00000178752 | nan | nan
chr2	ILKAP	618909.0 | ILKAP, PP2CD | ILK-associated serine/threonine phosphatase | 80895.0 | ENSG00000132323 | nan | nan
chr2	HES6	610331.0 | HES6 | Hes family bHLH transcription factor 6 | 55502.0 | ENSG00000144485 | nan | nan
chr2	PER2	603426.0 | PER2, FASPS1, KIAA0347 | Period circadian regulator 2 | 8864.0 | ENSG00000132326 | mutation identified in 1 FASPS1 family | ?Advanced sleep phase syndrome, familial, 1, 604348 (3), Autosomal dominant
chr2	TRAF3IP1	607380.0 | TRAF3IP1, MIPT3, SLSN9 | TNF receptor-associated factor 3-interacting protein 1 | 26146.0 | ENSG00000204104 | nan | Senior-Loken syndrome 9, 616629 (3), Autosomal recessive
chr2	ASB1	605758.0 | ASB1 | Ankyrin repeat-containing SOCS box protein 1 | 51665.0 | ENSG00000065802 | nan | nan
chr2	TWIST2	607556.0 | TWIST2, DERMO1, SETLSS, FFDD3, BBRSAY, AMS | Twist family bHLH transcription factor 2 | 117581.0 | ENSG00000233608 | nan | Ablepharon-macrostomia syndrome, 200110 (3), Autosomal dominant; Barber-Say syndrome, 209885 (3), Autosomal dominant; Focal facial dermal dysplasia 3, Setleis type, 227260 (3), Autosomal recessive
chr2	HDAC4	605314.0 | HDAC4, HDACA, NEDCHF | Histone deacetylase 4 | 9759.0 | ENSG00000068024 | nan | Neurodevelopmental disorder with central hypotonia and dysmorphic facies, 619797 (3), Autosomal dominant
chr2	NDUFA10	603835.0 | NDUFA10, MC1DN22 | NADH-ubiquinone oxidoreductase subunit A10 | 4705.0 | ENSG00000130414 | nan | Mitochondrial complex I deficiency, nuclear type 22, 618243 (3), Autosomal recessive
chr2	COPS9	619349.0 | COPS9, CSNAP, MYEOV2 | COP9 signalosome, subunit 9 | 150678.0 | ENSG00000172428 | nan | nan
chr2	OTOS	607877.0 | OTOSP | Otospiralin | 150677.0 | ENSG00000178602 | nan | nan
chr2	GPC1	600395.0 | GPC1 | Glypican 1 | 2817.0 | ENSG00000063660 | nan | nan
chr2	MIR149	615209.0 | MIR149 | Micro RNA 149 | 406941.0 | ENSG00000207611 | nan | nan
chr2	ANKMY1	620842.0 | ANKMY1, ZMYND13 | Ankyrin repeat- and MYND domain-containing protein 1 | 51281.0 | ENSG00000144504 | nan | nan
chr2	RNPEPL1	605287.0 | RNPEPL1 | Arginyl aminopeptidase-like 1 (aminopeptidase B-like) | 57140.0 | ENSG00000142327 | nan | nan
chr2	CAPN10	605286.0 | CAPN10, NIDDM1 | Calpain-10 | 11132.0 | ENSG00000142330 | nan | {Diabetes mellitus, noninsulin-dependent 1}, 601283 (3)
chr2	GPR35	602646.0 | GPR35 | G protein-coupled receptor-35 | 2859.0 | ENSG00000178623 | nan | nan
chr2	AQP12A	609789.0 | AQP12A, AQPX2, AQP12 | Aquaporin 12A | 375318.0 | ENSG00000184945 | nan | nan
chr2	KIF1A	601255.0 | KIF1A, ATSV, UNC104, SPG30A, SPG30B, HSN2C, MRD9 | Kinesin family member 1A | 547.0 | ENSG00000130294 | incorrectly assigned to chr.9 | NESCAV syndrome, 614255 (3), Autosomal dominant; Neuropathy, hereditary sensory, type IIC, 614213 (3), Autosomal recessive; Spastic paraplegia 30, autosomal dominant, 610357 (3), Autosomal dominant; Spastic paraplegia 30, autosomal recessive, 620607 (3), Autosomal recessive
chr2	AGXT	604285.0 | AGXT, SPAT | Alanine-glyoxylate aminotransferase, liver-specific peroxisomal | 189.0 | ENSG00000172482 | nan | Hyperoxaluria, primary, type 1, 259900 (3), Autosomal recessive
chr2	SNED1	616634.0 | SNED1, SNEP | SUSHI, NIDOGEN, and EGF-like domains protein 1 | 25992.0 | ENSG00000162804 | nan | nan
chr2	MTERF4	615393.0 | MTERF4, MTERFD2 | Mitochondrial transcription termination factor 4 | 130916.0 | ENSG00000122085 | nan | nan
chr2	PASK	607505.0 | PASK, KIAA0135 | Pas domain-containing serine-threonine kinase | 23178.0 | ENSG00000115687 | nan | nan
chr2	PPP1R7	602877.0 | PPP1R7, SDS22 | Protein phosphatase 1, regulatory subunit 7 | 5510.0 | ENSG00000115685 | nan | nan
chr2	ANO7	605096.0 | TMEM16G, PCANAP5, IPCA5, DTMPP, NGEP | Transmembrane protein 16G | 50636.0 | ENSG00000146205 | nan | nan
chr2	HDLBP	142695.0 | HDLBP, VGL | High-density lipoprotein-binding protein | 3069.0 | ENSG00000115677 | nan | nan
chr2	SEPTIN2	601506.0 | SEPT2, NEDD5, DIFF6 | Septin 2 | 4735.0 | ENSG00000168385 | nan | nan
chr2	FARP2	617586.0 | FARP2, FRG, FIR | FERM, ARHGEF, and pleckstrin domain-containing protein 2 | 9855.0 | ENSG00000006607 | nan | nan
chr2	STK25	602255.0 | STK25, SOK1, YSK1 | Serine/threonine protein kinase 25 | 10494.0 | ENSG00000115694 | nan | nan
chr2	BOK	605404.0 | BOK, BCL2L9 | BCL2-related ovarian killer | 666.0 | ENSG00000176720 | nan | nan
chr2	THAP4	612533.0 | THAP4 | THAP domain-containing protein 4 | 51078.0 | ENSG00000176946 | nan | nan
chr2	ATG4B	611338.0 | ATG4B, APG4B, KIAA0943 | Autophagy related 4B cysteine peptidase | 23192.0 | ENSG00000168397 | nan | nan
chr2	DTYMK	188345.0 | DTYMK, TYMK, CDC8, CONPM | Deoxythymidylate kinase | 1841.0 | ENSG00000168393 | nan | Neurodegeneration, childhood-onset, with progressive microcephaly, 619847 (3), Autosomal recessive
chr2	ING5	608525.0 | ING5 | Inhibitor of growth-5 | 84289.0 | ENSG00000168395 | nan | nan
chr2	D2HGDH	609186.0 | D2HGDH, D2HGD | D-2-hydroxyglutarate dehydrogenase | 728294.0 | ENSG00000180902 | nan | D-2-hydroxyglutaric aciduria, 600721 (3), Autosomal recessive
chr2	GAL3ST2	608237.0 | GAL3ST2, GP3ST | Galactose-3-O-sulfotransferase 2 | 64090.0 | ENSG00000154252 | nan | nan
chr2	NEU4	608527.0 | NEU4 | Neuraminidase 4 | 129807.0 | ENSG00000204099 | nan | nan
chr2	PDCD1	600244.0 | PDCD1, SLEB2 | Programmed cell death 1 | 5133.0 | ENSG00000188389 | nan | {Multiple sclerosis, disease progression, modifier of}, 126200 (3), Multifactorial; {Systemic lupus erythematosus, susceptibility to, 2}, 605218 (3)
chr2		601136.0 | TSE2 | Transsuppressor of expression 2 | 57324.0 | nan | nan | nan
chr3	CRCL	607135.0 | CRCL | Creatinine clearance QTL | 261727.0 | nan | in African Americans | Creatinine clearance QTL, 607135 (2)
chr3		613792.0 | DEL3pterp25, C3DELpterp25 | 3p- syndrome (chromosome 3pter-p25 deletion syndrome) | nan | nan | contiguous gene deletion syndrome | 3p- syndrome, 613792 (4), Autosomal dominant
chr3	HPC5	609299.0 | HPC5 | Prostate cancer, hereditary, 5 | 619402.0 | nan | between D3S1270 and D3S4559 | {Prostate cancer, hereditary, 5}, 609299 (2)
chr3	IBD9	608448.0 | IBD9 | Inflammatory bowel disease 9 | 317669.0 | nan | nan | {Inflammatory bowel disease 9}, 608448 (2)
chr3	MYMY1	252350.0 | MYMY1, MYMY | Moyamoya disease | 50960.0 | nan | max lod at D3S3050 | Moyamoya disease, 252350 (2), Autosomal recessive
chr3	STQTL5	608982.0 | STQTL5 | Stature quantitative trait locus 5 | 619479.0 | nan | max lod between D3S1297 and D3S1304 | {Stature QTL 5}, 608982 (2)
chr3	CHL1	607416.0 | CHL1, CALL, L1CAM2 | Cell adhesion molecule L1-like | 10752.0 | ENSG00000134121 | nan | nan
chr3	CNTN6	607220.0 | CNTN6, NB3 | Contactin 6 | 27255.0 | ENSG00000134115 | nan | nan
chr3	CNTN4	607280.0 | CNTN4 | Contactin 4 | 152330.0 | ENSG00000144619 | nan | nan
chr3	IL5RA	147851.0 | IL5RA | Interleukin-5 receptor, alpha | 3568.0 | ENSG00000091181 | nan | nan
chr3	TRNT1	612907.0 | TRNT1, SIFD, RPEM | tRNA nucleotidyltransferase, CCA-adding, 1 | 51095.0 | ENSG00000072756 | pseudogenes on chromosomes 1 and 22 | Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay, 616084 (3), Autosomal recessive; Retinitis pigmentosa and erythrocytic microcytosis, 616959 (3), Autosomal recessive
chr3	CRBN	609262.0 | CRBN, MRT2 | Cereblon | 51185.0 | ENSG00000113851 | between D3S3525 and D3S1560 | Intellectual developmental disorder, autosomal recessive 2, 607417 (3), Autosomal recessive
chr3	LRRN1	619623.0 | LRRN1, NLRR1 | Leucine-rich repeat neuronal protein 1 | 57633.0 | ENSG00000175928 | nan | nan
chr3	ARHI2	612976.0 | ARHI2 | Age-related hearing impairment 2 | 100302721.0 | nan | associated with rs11928865, rs779701, and rs779706 | {Age-related hearing impairment 2}, 612976 (2)
chr3	SUMF1	607939.0 | SUMF1, FGE | Sulfatase-modifying factor-1 | 285362.0 | ENSG00000144455 | nan | Multiple sulfatase deficiency, 272200 (3), Autosomal recessive
chr3	SETMAR	609834.0 | SETMAR, METNASE | SET and Mariner transposase domains-containing protein | 6419.0 | ENSG00000170364 | nan | nan
chr3	ITPR1	147265.0 | ITPR1, SCA15, SCA16, SCA29 | Inositol 1,4,5-triphosphate receptor, type 1 | 3708.0 | ENSG00000150995 | nan | Gillespie syndrome, 206700 (3), Autosomal recessive, Autosomal dominant; Spinocerebellar ataxia 29, congenital nonprogressive, 117360 (3), Autosomal dominant; Spinocerebellar ataxia 15, 606658 (3), Autosomal dominant
chr3	EGOT	611662.0 | EGOT, EGO | Eosinophil granule ontogeny transcript | 100126791.0 | ENSG00000235947 | nan | nan
chr3	BHLHE40	604256.0 | BHLHE40, HLHB2, STRA13, DEC1 | Basic helix-loop-helix family, member E40 | 8553.0 | ENSG00000134107 | nan | nan
chr3	ARL8B	616596.0 | ARL8B, GIE1 | ADP ribosylation factor-like GTPase 8B | 55207.0 | ENSG00000134108 | nan | nan
chr3	EDEM1	607673.0 | EDEM, KIAA0212 | ER degradation-enhancing alpha-mannosidase-like protein | 9695.0 | ENSG00000134109 | nan | nan
chr3	GRM7	604101.0 | GRM7, MGLUR7, NEDSHBA | Glutamate receptor, metabotropic, 7 | 2917.0 | ENSG00000196277 | nan | Neurodevelopmental disorder with seizures, hypotonia, and brain abnormalities, 618922 (3), Autosomal recessive
chr3	OVCAS1	607893.0 | OVCAS1 | Ovarian cancer, susceptibility to, 1 | 574048.0 | nan | between D3S1597 and D3S3611 | {Ovarian cancer, susceptibility to}, 607893 (2)
chr3	LMCD1	604859.0 | LMCD1 | LIM and cysteine-rich domains 1 | 29995.0 | ENSG00000071282 | nan | nan
chr3	LINC00312	610485.0 | LINC00312, LOH3CR2A | Long intergenic non-protein coding RNA 312 | 29931.0 | nan | nan | nan
chr3	SSUH2	617479.0 | SSUH2, C3orf32, FLS485 | Ssu-2 homolog | 51066.0 | ENSG00000125046 | nan | nan
chr3	CAV3	601253.0 | CAV3, LQT9, MPDT, RMD2 | Caveolin-3 | 859.0 | ENSG00000182533 | within 7-10kb of OXTR | Myopathy, distal, Tateyama type, 614321 (3), Autosomal dominant; Creatine phosphokinase, elevated serum, 123320 (3), Autosomal dominant; Cardiomyopathy, familial hypertrophic, 192600 (3), Digenic dominant, Autosomal dominant; Rippling muscle disease 2, 606072 (3), Autosomal dominant; Long QT syndrome 9, 611818 (3), Autosomal dominant
chr3	OXTR	167055.0 | OXTR | Oxytocin receptor | 5021.0 | ENSG00000180914 | 3p25 by others; within 7-10kb of CAV3 | nan
chr3	RAD18	605256.0 | RAD18 | RAD18 E3 ubiquitin protein ligase | 56852.0 | ENSG00000070950 | nan | nan
chr3	SRGAP3	606525.0 | SRGAP3, KIAA0411, MEGAP | Slit-robo GTPase-activating protein, rho, 3 | 9901.0 | ENSG00000196220 | nan | nan
chr3	SETD5	615743.0 | SETD5, KIAA1757, MRD23 | SET domain-containing protein 5 | 55209.0 | ENSG00000168137 | nan | Intellectual developmental disorder, autosomal dominant 23, 615761 (3), Autosomal dominant
chr3	LHFPL4	610240.0 | LHFPL4 | LHFP tetraspan subfamily, member 4 | 375323.0 | ENSG00000156959 | nan | nan
chr3	MTMR14	611089.0 | MTMR14, C3orf29, HJUMPY | Myotubularin-related protein 14 | 64419.0 | ENSG00000163719 | nan | {Centronuclear myopathy, autosomal, modifier of}, 160150 (3), Autosomal dominant
chr3	BRPF1	602410.0 | BRPF1, BR140, IDDDFP | Bromodomain- and PHD finger-containing protein 1, 140kD | 7862.0 | ENSG00000156983 | nan | Intellectual developmental disorder with dysmorphic facies and ptosis, 617333 (3), Autosomal dominant
chr3	OGG1	601982.0 | OGG1 | 8-hydroxyguanine DNA glycosylase | 4968.0 | ENSG00000114026 | nan | Renal cell carcinoma, clear cell, somatic, 144700 (3)
chr3	CAMK1	604998.0 | CAMK1, CAMKI | Calcium/calmodulin-dependent protein kinase I | 8536.0 | ENSG00000134072 | nan | nan
chr3	TADA3	602945.0 | TADA3, TADA3L, ADA3 | Transcriptional adaptor 3 | 10474.0 | ENSG00000171148 | nan | nan
chr3	ARPC4	604226.0 | ARPC4, ARC20, DEVLO | Actin-related protein 2/3 complex, subunit 4 | 10093.0 | ENSG00000241553 | nan | Developmental delay, language impairment, and ocular abnormalities, 620141 (3), Autosomal dominant
chr3	TTLL3	619195.0 | TTLL3 | Tubulin tyrosine ligase-like 3 | 26140.0 | ENSG00000214021 | nan | nan
chr3	RPUSD3	617759.0 | RPUSD3 | RNA pseudouridylate synthase domain-containing protein 3 | 285367.0 | ENSG00000156990 | nan | nan
chr3	CIDEC	612120.0 | CIDEC, FSP27, CIDE3, FPLD5 | Cell death-inducing DFFA-like effector C | 63924.0 | ENSG00000187288 | 1 patient identified with mutation | ?Lipodystrophy, familial partial, type 5, 615238 (3), Autosomal recessive
chr3	JAGN1	616012.0 | JAGN1, SCN6 | Jagunal homolog 1 | 84522.0 | ENSG00000171135 | nan | Neutropenia, severe congenital, 6, autosomal recessive, 616022 (3), Autosomal recessive
chr3	IL17RE	614995.0 | IL17RE | Interleukin 17 receptor E | 132014.0 | ENSG00000163701 | nan | nan
chr3	IL17RC	610925.0 | IL17RC, IL17RL, CANDF9 | Interleukin 17 receptor C | 84818.0 | ENSG00000163702 | nan | Candidiasis, familial, 9, 616445 (3), Autosomal recessive
chr3	CRELD1	607170.0 | CRELD1, AVSD2, JELANS | Cysteine-rich protein with EGF-like domains 1 | 78987.0 | ENSG00000163703 | nan | Atrioventricular septal defect, partial, with heterotaxy syndrome, 606217 (3), Autosomal dominant; Jeffries-Lakhani neurodevelopmental syndrome, 620771 (3), Autosomal recessive; {Atrioventricular septal defect, susceptibility to, 2}, 606217 (3), Autosomal dominant
chr3	PRRT3	619993.0 | PRRT3 | Proline-rich transmembrane protein 3 | 285368.0 | ENSG00000163704 | nan | nan
chr3	PRRT3-AS1	619106.0 | PRRT3AS1 | PRRT3 antisense RNA 1, noncoding | 100874032.0 | ENSG00000230082 | nan | nan
